year,age_gp,sex,race,edclass,tmort,lvdcmort,hlvdcmort,dmmort,ihdmort,istrmort,hyphdmort,audmort,uijmort,mvaccmort,ijmort,restmort
2000,55,2,"3-Hisp","LEHS",1880.644,74.46342,2,175.1872,253.75,3.75,16.76471,4,16.76191,34.17949,6,1293.508
2000,55,2,"3-Hisp","SomeC",217.4823,8.390244,0,16.68449,20.71428,1.25,2.235294,2,3.142857,4.410256,0,158.9257
2000,55,2,"3-Hisp","College",121.8741,3.146342,0,3.128342,15.53571,0,0,0,2.095238,4.410256,2,91.56646
2000,55,2,"4-Others","LEHS",794.7592,30.66667,4,43.92857,106.2923,6,5.714286,9,10.5,24,4,552.1875
2000,55,2,"4-Others","SomeC",197.3345,5.897436,0,9.642858,18.09231,2,1.142857,0,1.166667,4,3,151.7708
2000,55,2,"4-Others","College",281.9064,9.435898,0,6.428571,22.61539,2,1.142857,0,2.333333,6,5,226.0417
2000,60,1,"1-WNH","LEHS",41359.83,960.12,8.842105,1307.55,10107.31,229.8033,305.272,276.1552,664.9821,521.2375,571.2823,26407.29
2000,60,1,"1-WNH","SomeC",9170.775,246.24,6.631579,277.6815,2182.698,50.23606,76.05021,43.29552,144.5613,105.7583,112.1208,5924.677
2000,60,1,"1-WNH","College",10245.39,251.64,5.526316,295.7681,2320.993,45.96066,130.6778,72.54926,203.4567,150.0042,182.5968,6587.037
2000,60,1,"2-BNH","LEHS",9702.728,149.4198,2,429.1381,2061.103,65.6,260.2117,105,151.8065,105.4206,19.51852,6353.69
2000,60,1,"2-BNH","SomeC",1174.505,21.34568,1,41.17992,263.1195,10.93333,26.80292,8.166667,17.51613,10.09346,8.037037,766.4696
2000,60,1,"2-BNH","College",875.7672,11.23457,0,47.68201,196.7774,5.466667,18.9854,12.83333,11.67742,4.485981,3.444444,562.8404
2000,60,1,"3-Hisp","LEHS",3463.148,201.6579,7,242.2895,820.1094,27.31034,45.58139,26.28572,65.74286,63.40298,30.88235,1932.748
